Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675438017.5728316,15,5751,0,GPS_Frame 1,42.33896166666667,-71.08807716666666,9.59,-5.7,327987.5950872792,4689523.421246335,19,T
1675438018.651267,16,5752,0,GPS_Frame 1,42.33896716666666,-71.08807516666667,9.58,-6.0,327987.77484831563,4689524.027933546,19,T
1675438019.7379744,17,5753,0,GPS_Frame 1,42.33896200000001,-71.08807916666666,9.57,-5.8,327987.4312325798,4689523.462306475,19,T
1675438020.8196445,18,5754,0,GPS_Frame 1,42.33895733333334,-71.08807983333332,9.56,-5.3,327987.36358627176,4689522.945457265,19,T
1675438021.9040527,19,5755,0,GPS_Frame 1,42.338944833333336,-71.0880875,9.55,-4.8,327986.69790709193,4689521.57293696,19,T
1675438022.9832623,20,5756,0,GPS_Frame 1,42.33894466666667,-71.08808683333334,9.55,-4.5,327986.7523738484,4689521.553081218,19,T
1675438024.0859954,21,5757,0,GPS_Frame 1,42.33893733333333,-71.08808533333332,9.54,-2.9,327986.8559499862,4689520.735735751,19,T
1675438025.1515067,22,5758,0,GPS_Frame 1,42.33892983333333,-71.08808583333332,9.53,-1.8,327986.79430796736,4689519.903929238,19,T
1675438026.2399886,23,5759,0,GPS_Frame 1,42.338925,-71.08808683333334,9.52,-1.0,327986.698746506,4689519.369247304,19,T
1675438027.3172674,24,5760,0,GPS_Frame 1,42.33892566666667,-71.08808716666667,9.51,-1.0,327986.67310376064,4689519.443949911,19,T
1675438028.404366,25,5761,0,GPS_Frame 1,42.33892933333333,-71.08808633333334,9.5,-1.7,327986.75175362977,4689519.849419543,19,T
1675438029.4867392,26,5762,0,GPS_Frame 1,42.33893066666666,-71.08808616666667,9.49,-1.6,327986.76911969006,4689519.99713891,19,T
1675438030.5740418,27,5763,0,GPS_Frame 1,42.338888,-71.08809333333333,2.4,5.9,327986.06237200013,4689515.273828025,19,T
