Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fixed_quality
1676931283.187499,0,80083,0,GNSS,42.33723283333333,71.08695466666667,24.0,0.67,671924.6428972255,4689329.177268753,221443.0,42,T,5
1676931284.2134686,0,80084,0,GNSS,42.3372325,71.08695516666667,24.0,0.8,671924.6849976759,4689329.141265581,221444.0,42,T,5
1676931285.1568766,0,80085,0,GNSS,42.33722916666667,71.08695833333333,24.1,0.8,671924.9549647357,4689328.777527056,221445.0,42,T,5
1676931286.2077768,0,80086,0,GNSS,42.337225,71.08695883333333,24.1,0.67,671925.0075119801,4689328.315861484,221446.0,42,T,5
1676931287.1981971,0,80087,0,GNSS,42.33722,71.08695483333334,24.2,0.69,671924.6916018731,4689327.7525620395,221447.0,42,T,5
1676931288.1916835,0,80088,0,GNSS,42.33721416666667,71.0869505,24.2,0.69,671924.3505013755,4689327.096053341,221448.0,42,T,5
1676931289.2306337,0,80089,0,GNSS,42.33720783333333,71.08694483333333,24.3,0.63,671923.900917953,4689326.381327622,221449.0,42,T,5
1676931290.1834664,0,80090,0,GNSS,42.33720133333333,71.086939,24.3,0.69,671923.4380579533,4689325.6477578925,221450.0,42,T,5
1676931291.183616,0,80091,0,GNSS,42.3371955,71.08693383333333,24.2,0.7,671923.028303791,4689324.989564362,221451.0,42,T,5
1676931292.1981027,0,80092,0,GNSS,42.337188833333336,71.08692766666667,24.3,0.68,671922.5384364228,4689324.236813679,221452.0,42,T,5
1676931293.1988935,0,80093,0,GNSS,42.337181666666666,71.08692,24.3,0.77,671921.9263553383,4689323.425509049,221453.0,42,T,5
1676931294.1845608,0,80094,0,GNSS,42.3371745,71.086912,24.3,0.78,671921.2868127234,4689322.613530523,221454.0,42,T,5
1676931295.1966307,0,80095,0,GNSS,42.3371675,71.0869055,24.3,0.79,671920.7703919982,4689321.823091901,221455.0,42,T,5
1676931296.2077324,0,80096,0,GNSS,42.33716016666666,71.08689916666667,24.3,0.78,671920.2686102332,4689320.995976175,221456.0,42,T,5
1676931297.172803,0,80097,0,GNSS,42.33715316666667,71.08689166666667,24.4,0.79,671919.6698050875,4689320.203515798,221457.0,42,T,5
1676931298.1622016,0,80098,0,GNSS,42.33714783333333,71.086883,24.4,0.78,671918.9703430068,4689319.593767278,221458.0,42,T,5
1676931299.2842286,0,80099,0,GNSS,42.337143166666664,71.08687383333333,24.4,0.78,671918.2278719558,4689319.057036163,221459.0,42,T,5
1676931300.1855862,0,80100,0,GNSS,42.3371385,71.08686483333334,24.4,0.67,671917.4991314913,4689318.520642101,221500.0,42,T,5
1676931301.1934693,0,80101,0,GNSS,42.3371375,71.0868525,24.3,0.68,671916.4857848547,4689318.384664106,221501.0,42,T,5
1676931302.1840894,0,80102,0,GNSS,42.337141833333334,71.08684033333333,24.3,0.67,671915.471635072,4689318.841249164,221502.0,42,T,5
1676931303.1585004,0,80103,0,GNSS,42.3371485,71.08682916666666,24.4,0.62,671914.533511104,4689319.558954993,221503.0,42,T,5
1676931304.1461396,0,80104,0,GNSS,42.33715566666667,71.08681783333333,24.3,0.7,671913.5802941028,4689320.331845166,221504.0,42,T,5
1676931305.13896,0,80105,0,GNSS,42.337162166666666,71.08680716666667,24.3,0.59,671912.6838167848,4689321.032055056,221505.0,42,T,5
1676931306.1667233,0,80106,0,GNSS,42.337169333333335,71.08679683333334,24.3,0.59,671911.812984341,4689321.806967217,221506.0,42,T,5
1676931307.1690624,0,80107,0,GNSS,42.33717633333333,71.08678516666667,24.2,0.67,671910.8327607322,4689322.560676768,221507.0,42,T,5
1676931308.1360204,0,80108,0,GNSS,42.337182166666665,71.08677316666666,24.2,0.64,671909.8282551286,4689323.184163119,221508.0,42,T,5
1676931309.1598516,0,80109,0,GNSS,42.33718783333333,71.086761,24.1,0.67,671908.8104731839,4689323.7888055965,221509.0,42,T,5
1676931310.150937,0,80110,0,GNSS,42.337193666666664,71.08674966666666,24.0,0.61,671907.8608906902,4689324.413640029,221510.0,42,T,5
1676931311.1726127,0,80111,0,GNSS,42.33719933333333,71.086738,23.9,0.69,671906.884301157,4689325.019293628,221511.0,42,T,5
1676931312.1686845,0,80112,0,GNSS,42.33720533333333,71.08672766666666,23.9,0.63,671906.0166489589,4689325.664657056,221512.0,42,T,5
1676931313.1509345,0,80113,0,GNSS,42.33721233333333,71.08671666666666,23.9,0.68,671905.0913492534,4689326.419715169,221513.0,42,T,5
1676931314.1467092,0,80114,0,GNSS,42.337219,71.086707,23.8,0.7,671904.2768035076,4689327.140454825,221514.0,42,T,5
1676931315.1892111,0,80115,0,GNSS,42.337225333333336,71.08669516666667,23.8,0.67,671903.2846673885,4689327.819800209,221515.0,42,T,5
1676931316.2020268,0,80116,0,GNSS,42.33723083333334,71.086684,23.8,0.66,671902.349724922,4689328.4079581825,221516.0,42,T,5
