Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fixed_quality
1676933466.177987,0,82266,0,GNSS,42.33826604,71.08661751833333,33.141,0.62,671894.0519313037,4689443.225362745,225106.0,42,T,4
1676933467.1321454,0,82267,0,GNSS,42.338266035,71.086617505,33.143,0.62,671894.0508464952,4689443.22478058,225107.0,42,T,4
1676933468.163187,0,82268,0,GNSS,42.338266018333336,71.08661748666667,33.139,0.62,671894.049381558,4689443.222892812,225108.0,42,T,4
1676933469.1552892,0,82269,0,GNSS,42.338265985,71.08661746166666,33.136,0.62,671894.0474128185,4689443.219140859,225109.0,42,T,4
1676933470.1633594,0,82270,0,GNSS,42.33826598666667,71.08661745833334,33.138,0.62,671894.047133669,4689443.219319191,225110.0,42,T,4
1676933471.1490939,0,82271,0,GNSS,42.33826603666667,71.08661751833333,33.138,0.62,671894.0519403866,4689443.224992605,225111.0,42,T,4
1676933472.1343067,0,82272,0,GNSS,42.338266018333336,71.08661749666666,33.142,0.62,671894.0502053847,4689443.222913028,225112.0,42,T,4
1676933473.173021,0,82273,0,GNSS,42.338266015,71.08661750666667,33.138,0.62,671894.0510382964,4689443.222563101,225113.0,42,T,4
1676933474.1658642,0,82274,0,GNSS,42.33826602333333,71.08661749666666,33.144,0.62,671894.0501917604,4689443.2234682385,225114.0,42,T,4
1676933475.2993748,0,82275,0,GNSS,42.33826603666667,71.08661752,33.137,0.62,671894.0520776928,4689443.224995974,225115.0,42,T,4
1676933476.1635594,0,82276,0,GNSS,42.33826603,71.08661750333333,33.138,0.62,671894.0507228111,4689443.224221999,225116.0,42,T,4
1676933477.2961714,0,82277,0,GNSS,42.338266,71.08661751,33.142,0.62,671894.0513537775,4689443.220904204,225117.0,42,T,4
1676933478.1544855,0,82278,0,GNSS,42.33826601,71.0866175,33.142,0.62,671894.0505027,4689443.221994412,225118.0,42,T,4
1676933479.3966832,0,82279,0,GNSS,42.338266018333336,71.08661748333333,33.139,0.62,671894.0491069476,4689443.222886073,225119.0,42,T,4
1676933480.1772907,0,82280,0,GNSS,42.33826603166667,71.08661751833333,33.138,0.62,671894.051954011,4689443.224437393,225120.0,42,T,4
1676933481.1768448,0,82281,0,GNSS,42.33826602166667,71.086617485,33.141,0.62,671894.0492351709,4689443.223259583,225121.0,42,T,4
1676933482.177566,0,82282,0,GNSS,42.338266043333334,71.08661750333333,33.143,0.62,671894.0506864797,4689443.225702563,225122.0,42,T,4
1676933483.3148055,0,82283,0,GNSS,42.33826603,71.08661747,33.142,0.62,671894.0479767206,4689443.224154613,225123.0,42,T,4
1676933484.1602542,0,82284,0,GNSS,42.33826602333333,71.086617485,33.141,0.62,671894.0492306296,4689443.223444655,225124.0,42,T,4
1676933485.3148556,0,82285,0,GNSS,42.338266015,71.08661745333333,33.145,0.62,671894.0466445502,4689443.222455285,225125.0,42,T,4
1676933486.393308,0,82286,0,GNSS,42.338266026666666,71.086617485,33.14,0.62,671894.0492215466,4689443.223814795,225126.0,42,T,4
1676933487.2041738,0,82287,0,GNSS,42.338265996666664,71.08661749166667,33.14,0.62,671894.0498525109,4689443.220497,225127.0,42,T,4
1676933488.2018144,0,82288,0,GNSS,42.33826599166667,71.08661744666666,33.146,0.62,671894.0461589117,4689443.219850818,225128.0,42,T,4
1676933489.195807,0,82289,0,GNSS,42.338266016666665,71.08661744333334,33.152,0.62,671894.0458161819,4689443.222620139,225129.0,42,T,4
1676933490.1748126,0,82290,0,GNSS,42.33826602,71.08661748333333,33.143,0.62,671894.0491024063,4689443.223071143,225130.0,42,T,4
1676933491.218656,0,82291,0,GNSS,42.33826601166667,71.08661751666666,33.147,0.62,671894.0518712039,4689443.222213177,225131.0,42,T,4
1676933492.175383,0,82292,0,GNSS,42.338265998333334,71.08661750333333,33.152,0.62,671894.0508090984,4689443.220705655,225132.0,42,T,4
